자치구,급속충전기(대),완속충전기(대),충전소명,위도,경도
강남구,38,81,54,37.5172,127.0473
강동구,30,56,34,37.5301,127.1238
강북구,12,16,9,37.6398,127.0255
강서구,24,43,27,37.5510,126.8495
관악구,11,18,17,37.4781,126.9515
광진구,17,18,12,37.5384,127.0822
구로구,23,52,30,37.4955,126.8876
금천구,8,2,6,37.4519,126.9020
노원구,34,60,41,37.6543,127.0575
도봉구,27,43,34,37.6688,127.0471
동대문구,19,16,15,37.5742,127.0398
동작구,14,26,18,37.5124,126.9393
마포구,29,70,35,37.5634,126.9034
서대문구,15,18,14,37.5793,126.9365
서초구,38,71,48,37.4836,127.0327
성동구,36,30,18,37.5634,127.0369
성북구,27,42,25,37.5894,127.0167
송파구,43,85,43,37.5117,127.1059
양천구,21,33,25,37.5170,126.8666
영등포구,24,58,25,37.5263,126.8963
용산구,27,49,22,37.5323,126.9907
은평구,5,11,8,37.6015,126.9304
종로구,8,22,13,37.5735,126.9790
중구,29,22,18,37.5641,126.9979
중랑구,17,27,19,37.6063,127.0932
