자치구,충전소명,위도,경도,급속충전기(대),완속충전기(대)
강남구,LH강남힐스테이트,37.47102737426758,127.08878326416016,1,4
강남구,LH서울지사,37.51447296142578,127.04086303710938,1,0
강남구,가람아파트,37.481773376464844,127.08560943603516,1,0
강남구,강남구청 공영주차장,37.517704010009766,127.04682159423828,1,0
강남구,강남데시앙파크,37.46104431152344,127.1015396118164,1,1
강남구,강남데시앙포레,37.48080825805664,127.09049224853516,1,3
강남구,강남세브란스 병원,37.492950439453125,127.04625701904297,2,0
강남구,강남아이파크,37.47477340698242,127.1011962890625,1,1
강남구,강남한신휴 플러스8단지,37.469852447509766,127.11074829101562,0,2
강남구,강남한신휴플러스6단지 아파트,37.46809387207031,127.1053695678711,1,2
강남구,강남한양수자인,37.47590637207031,127.11298370361328,1,4
강남구,개나리래미안 아파트,37.49897766113281,127.04659271240234,1,2
강남구,개나리푸르지오,37.49967575073242,127.04957580566406,0,3
강남구,개포7차 우성 아파트,37.49324417114258,127.07911682128906,1,1
강남구,공무원연금공단 서울지부(상록회관),37.50410079956055,127.0429458618164,1,0
강남구,금호어울림 아파트(삼성동),37.51673126220703,127.06471252441406,0,1
강남구,대치2문화센터 공영주차장,37.50233459472656,127.06421661376953,1,0
강남구,대치현대 아파트,37.500450134277344,127.06050872802734,1,1
강남구,도곡대림아크로빌,37.48814010620117,127.05067443847656,1,0
강남구,도곡렉슬 아파트,37.49420928955078,127.04973602294922,2,2
강남구,도성 아파트,37.50113296508789,127.05831909179688,0,2
강남구,라테라스삼성,37.51548767089844,127.06571960449219,0,1
강남구,래미안강남힐즈,37.47265625,127.09580993652344,1,2
강남구,래미안그레이튼,37.49656677246094,127.0482406616211,1,1
강남구,래미안대치팰리스,37.49343490600586,127.05770111083984,2,0
강남구,래미안대치하이스턴 아파트,37.50151062011719,127.06547546386719,1,1
강남구,래미안삼성1차,37.51716232299805,127.06393432617188,0,2
강남구,삼성동 에스케이뷰 아파트,37.516319274902344,127.06486511230469,0,1
강남구,삼성동한일아파트,37.513938903808594,127.05003356933594,0,1
강남구,삼성동현대아파트,37.516761779785156,127.04460906982422,0,1
강남구,삼성동힐스테이트2단지,37.513790130615234,127.0514144897461,1,3
강남구,삼성우정에쉐르아파트,37.51728057861328,127.04450988769531,0,2
강남구,삼성중앙하이츠빌리지,37.516578674316406,127.0465087890625,0,1
강남구,삼성파크 아파트,37.509212493896484,127.05382537841797,0,2
강남구,샘터마을 아파트,37.485198974609375,127.08267211914062,1,0
강남구,세곡리엔파크1단지,37.4640998840332,127.10096740722656,0,3
강남구,세곡리엔파크2단지 아파트,37.4640998840332,127.10285186767578,1,0
강남구,세곡리엔파크3단지,37.463951110839844,127.10411071777344,1,1
강남구,세곡푸르지오아파트,37.46735382080078,127.09342956542969,1,1
강남구,아이파크삼성동,37.51839828491211,127.0595474243164,1,0
강남구,아크로힐스논현,37.50957107543945,127.03870391845703,1,2
