자치구,자치구별 전기차 대수,충전소수,급속충전기(대),완속충전기(대),총 충전기수,충전기 당 전기차
강남구,11432,54,38.0,81.0,119.0,96.0672268907563
강동구,1273,34,30.0,56.0,86.0,14.80232558139535
강북구,496,9,12.0,16.0,28.0,17.714285714285715
강서구,1679,27,24.0,43.0,67.0,25.059701492537314
관악구,730,16,11.0,17.0,28.0,26.071428571428573
광진구,590,12,17.0,18.0,35.0,16.857142857142858
구로구,3733,30,23.0,52.0,75.0,49.77333333333333
금천구,530,6,8.0,2.0,10.0,53.0
노원구,889,41,34.0,60.0,94.0,9.457446808510639
도봉구,637,34,27.0,43.0,70.0,9.1
동대문구,656,15,19.0,16.0,35.0,18.742857142857144
동작구,710,18,14.0,26.0,40.0,17.75
마포구,1062,34,29.0,68.0,97.0,10.948453608247423
서대문구,663,14,15.0,18.0,33.0,20.09090909090909
서초구,3616,48,38.0,71.0,109.0,33.174311926605505
성동구,1494,18,36.0,30.0,66.0,22.636363636363637
성북구,900,25,27.0,42.0,69.0,13.043478260869565
송파구,1932,43,43.0,85.0,128.0,15.09375
양천구,989,25,21.0,33.0,54.0,18.314814814814813
영등포구,2409,25,24.0,58.0,82.0,29.378048780487806
용산구,957,22,27.0,49.0,76.0,12.592105263157896
은평구,881,8,5.0,11.0,16.0,55.0625
종로구,606,13,8.0,22.0,30.0,20.2
중구,950,18,29.0,22.0,51.0,18.627450980392158
중랑구,750,19,17.0,27.0,44.0,17.045454545454547
